City,latitude,longitude,Temperature,Humidity,Wind Speed,Cloudiness
atuona,-1.3883910486945297,-146.1077523722011,76.7,100.0,14.34,44.0
kieta,-0.5522522869563886,159.80791120557745,80.21,96.0,6.02,8.0
jamame,-0.43624253894282106,43.534147806540034,76.79,84.0,13.11,92.0
kisangani,0.3984257323748608,25.464968778406217,70.76,99.0,3.27,12.0
lufilufi,1.2866388780084463,-163.44361076797648,79.76,100.0,9.6,8.0
tutoia,1.351722485649148,-41.82556646784377,80.12,79.0,14.79,12.0
manokwari,1.4664191432911622,133.92896987401252,81.65,100.0,6.62,36.0
touros,1.9202649906843305,-31.897783537428325,77.24,83.0,14.41,68.0
biak,1.9517416845025224,139.3210329271633,75.26,100.0,5.39,48.0
goderich,2.2777878098724926,-20.463063185575948,71.57,84.0,4.38,20.0
lethem,2.424617819819602,-57.95865772099614,83.81,61.0,8.81,0.0
bintulu,2.4352510847718776,114.85188312059034,77.0,88.0,6.93,75.0
katakwi,2.485695643432308,33.6470579238524,59.78,93.0,3.56,0.0
kudahuvadhoo,2.6338220809213198,65.5148718956986,83.45,100.0,16.46,12.0
lorengau,2.7424495035417635,145.59275073291946,82.1,100.0,2.33,12.0
paracuru,3.8261158131853676,-34.59281939816384,78.8,83.0,13.87,75.0
hobyo,4.377493574026744,52.20545712686359,76.7,75.0,15.64,0.0
jinka,4.589146286384079,36.731285983135706,60.23,77.0,1.59,48.0
namatanai,4.644175077959517,159.41052540482463,79.76,100.0,8.41,68.0
coahuayana,4.723873229505074,-110.18545859030559,81.65,47.0,3.11,12.0
paka,4.797479298639644,104.40438328808261,62.6,100.0,5.82,0.0
sibu,5.122179519178928,110.55294859977226,75.2,88.0,3.36,75.0
miri,5.227602432908711,111.95415257151109,68.87,91.0,4.5,48.0
eyl,5.549072503396772,53.27152056823945,78.5,73.0,21.23,8.0
sabang,5.7806949536259395,93.0551025623696,81.2,93.0,13.89,92.0
saint-georges,5.890594319737161,-47.25062575394654,66.62,97.0,3.49,68.0
ugep,5.9755288487731235,8.264913000761936,72.74,99.0,4.56,92.0
pundaguitan,6.282279004655294,126.7408572728798,84.44,96.0,10.6,88.0
bubaque,6.9428704043731955,-18.184261895405996,77.0,94.0,3.36,75.0
kalmunai,7.210151893282159,86.93763605856651,73.19,91.0,2.48,20.0
ginir,7.372436074676941,41.92507236404475,60.77,56.0,11.27,0.0
balabac,8.020944671413076,116.7560674456289,85.25,93.0,22.12,64.0
bandarbeyla,8.026808056001471,61.368142627079976,78.05,93.0,32.3,8.0
siocon,8.217493678443233,121.4652135394146,84.26,95.0,15.9,88.0
kavaratti,8.297371964549882,65.28129530271374,83.45,93.0,24.96,92.0
lagdo,8.859532230225255,13.709186057610765,80.6,78.0,6.93,0.0
itarema,8.972404883913995,-37.49439159146081,77.69,81.0,15.12,12.0
ixtapa,9.455547703215046,-105.83555423156311,86.0,70.0,4.7,90.0
lafiagi,9.621757919410669,4.758852692220955,72.65,95.0,3.38,64.0
jos,9.664843592217423,9.088348596243407,66.17,92.0,4.05,56.0
pilar,10.525024334303396,129.1405392242965,61.99,55.0,9.17,0.0
carora,10.556653013081458,-70.22400136548818,84.17,44.0,15.08,0.0
nagapattinam,10.879922971672983,80.48178271428327,77.78,79.0,10.38,64.0
acapulco,11.573957958054336,-100.8931303483985,87.8,70.0,5.82,75.0
caraballeda,11.618285920207882,-66.76026409539298,80.03,96.0,17.31,24.0
dubti,11.877501593512761,41.23037252625673,72.2,78.0,3.78,64.0
tagusao,11.951078003669764,115.25665939821738,80.39,93.0,15.19,68.0
cayenne,12.245777050903783,-44.043689843739884,75.2,100.0,9.31,20.0
airai,12.745015046242173,138.73031164645317,72.74,66.0,2.26,0.0
bereda,12.974894204191813,52.56908354792256,62.6,93.0,1.12,92.0
champerico,13.502814628678323,-91.96203012615132,84.2,62.0,12.75,75.0
kutum,13.840532694514863,25.52967176191075,62.48,96.0,2.89,44.0
butaritari,13.869669965851585,165.48652391097283,83.18,100.0,7.25,8.0
rincon,13.986639192096376,-68.1095898363625,83.41,83.0,20.8,75.0
salalah,13.989726308288724,54.206221004759584,78.8,88.0,2.24,90.0
kovur,14.456427365519033,80.57119139712347,81.65,64.0,12.66,88.0
pedernales,15.025999081796229,-72.52110783898058,76.52,80.0,6.85,68.0
sinnamary,15.044423303584182,-45.652609304825376,81.92,94.0,12.88,20.0
