,Sentiment Points,BBC Compound Sentiment,BBC Positive Sentiment,BBC Negative Sentiment,BBC Neutral Sentiment,CBS Compound Sentiment,CBS Positive Sentiment,CBS Negative Sentiment,CBS Neutral Sentiment,CNN Compound Sentiment,CNN Positive Sentiment,CNN Negative Sentiment,CNN Neutral Sentiment,Fox Compound Sentiment,Fox Positive Sentiment,Fox Negative Sentiment,Fox Neutral Sentiment,@nytimes Compound Sentiment,@nytimes Positive Sentiment,@nytimes Negative Sentiment,@nytimes Neutral Sentiment
54,54,-0.2363,0.0,0.097,0.903,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6588,0.329,0.0,0.671,0.5849,0.242,0.0,0.758
55,55,0.8779,0.369,0.0,0.631,0.6124,0.24,0.0,0.76,-0.7269,0.0,0.319,0.681,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
56,56,0.0,0.0,0.0,1.0,0.9098,0.469,0.0,0.531,0.0,0.0,0.0,1.0,0.5574,0.187,0.0,0.813,-0.5859,0.0,0.16,0.84
57,57,0.0,0.0,0.0,1.0,0.34,0.124,0.0,0.876,0.34,0.124,0.0,0.876,-0.7096,0.0,0.371,0.629,-0.4215,0.0,0.113,0.887
58,58,0.0,0.0,0.0,1.0,0.5707,0.187,0.0,0.813,0.0,0.0,0.0,1.0,0.5106,0.163,0.0,0.837,0.4019,0.144,0.0,0.856
59,59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3818,0.0,0.12,0.88,0.0,0.0,0.0,1.0,-0.34,0.0,0.118,0.882
60,60,0.3612,0.115,0.055,0.83,0.34,0.118,0.0,0.882,-0.34,0.0,0.124,0.876,-0.4576,0.0,0.15,0.85,0.015,0.11,0.108,0.782
61,61,-0.5719,0.084,0.22,0.696,-0.1511,0.068,0.099,0.834,0.5927,0.222,0.081,0.697,-0.25,0.0,0.1,0.9,-0.5106,0.0,0.202,0.798
62,62,0.0,0.0,0.0,1.0,0.8293,0.34,0.0,0.66,0.4404,0.162,0.0,0.838,0.555,0.193,0.0,0.807,-0.4404,0.0,0.121,0.879
63,63,0.0,0.0,0.0,1.0,0.128,0.073,0.0,0.927,0.0,0.0,0.0,1.0,0.0772,0.067,0.0,0.933,0.0,0.0,0.0,1.0
64,64,0.0,0.0,0.0,1.0,-0.296,0.0,0.109,0.891,0.3818,0.126,0.0,0.874,0.5499,0.346,0.32,0.334,-0.4019,0.0,0.13,0.87
65,65,-0.3252,0.0,0.226,0.774,-0.296,0.0,0.109,0.891,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
66,66,0.4199,0.189,0.0,0.811,-0.7964,0.0,0.264,0.736,0.128,0.126,0.107,0.766,0.6476,0.209,0.0,0.791,0.0,0.0,0.0,1.0
67,67,0.0,0.0,0.0,1.0,-0.6597,0.0,0.18,0.82,0.4019,0.119,0.0,0.881,0.0,0.0,0.0,1.0,0.0772,0.061,0.0,0.939
68,68,0.2023,0.13,0.0,0.87,0.3182,0.095,0.0,0.905,0.0,0.0,0.0,1.0,0.8126,0.363,0.0,0.637,-0.296,0.0,0.095,0.905
69,69,-0.7579,0.0,0.265,0.735,0.0,0.0,0.0,1.0,0.2023,0.096,0.0,0.904,-0.2755,0.0,0.1,0.9,-0.4404,0.092,0.191,0.717
